소계,남,여,만10대미만,만10-19세,만20-29세,만30-39세,만40-49세,만50-59세,만60-69세,만70세이상,년도
81.7,84.6,78.7,77.2,91.4,97.9,96.5,93.6,88.4,70.6,23.4,1
72.2,75.2,69.1,67.1,83.8,95.7,94.1,84.9,75.2,48.3,10.3,0
