"구분별(1)",구분별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),사례수 (명),하루에도 여러번 (%),하루1번(매일) (%),1주일에 5~6회 (%),1주일에 3~4회 (%),1주일에 1~2회 (%),월1~3회 (%),월1회 미만 (%),분기/연간1회 (%),사례수 (명),하루에도 여러번 (%),하루1번(매일) (%),1주일에 5~6회 (%),1주일에 3~4회 (%),1주일에 1~2회 (%),월1~3회 (%),월1회 미만 (%),분기/연간1회 (%),사례수 (명),하루에도 여러번 (%),하루1번(매일) (%),1주일에 5~6회 (%),1주일에 3~4회 (%),1주일에 1~2회 (%),월1~3회 (%),월1회 미만 (%),분기/연간1회 (%)
"전체",소계,4457.7,20.8,13.4,8.5,13.8,28.9,11.2,2.9,0.5,7434.0,35.0,15.4,10.3,14.1,18.0,5.3,1.7,0.1,8293.7,36.5,15.0,9.2,14.7,17.9,5.6,1.0,0.0
"성별",남,2375.6,21.8,12.8,8.8,14.2,27.8,11.2,2.9,0.4,3872.0,35.4,16.2,10.3,13.6,17.8,4.9,1.7,0.2,4283.5,36.7,15.8,9.3,13.8,18.1,5.0,1.3,0.0
"성별",여,2082.1,19.6,14.0,8.1,13.4,30.2,11.1,3.0,0.6,3562.0,34.6,14.6,10.3,14.7,18.3,5.8,1.7,0.0,4010.2,36.2,14.1,9.2,15.7,17.7,6.3,0.6,0.0
"연령",만10대미만,80.6,22.4,18.5,10.3,5.8,16.0,22.5,4.5,0.0,173.0,45.2,19.2,5.4,6.7,21.0,2.4,0.0,0.0,174.5,33.2,21.9,7.2,13.2,19.6,3.8,1.1,0.0
"연령",만10-19세,501.5,34.5,12.6,12.3,11.1,19.9,6.3,2.0,1.3,825.0,45.9,16.0,10.3,10.3,14.3,1.7,1.2,0.2,880.1,50.0,14.3,11.0,10.5,11.9,2.0,0.4,0.0
"연령",만20-29세,1022.5,27.8,13.3,9.4,13.2,30.3,4.7,1.1,0.1,1378.0,45.9,17.4,9.1,9.1,17.6,0.8,0.2,0.0,1381.4,51.0,14.5,8.2,11.1,14.1,1.0,0.1,0.0
"연령",만30-39세,978.7,17.5,13.3,9.5,18.7,26.7,11.0,3.4,0.0,1420.0,32.9,15.9,11.0,15.4,18.6,4.3,1.5,0.5,1390.1,35.4,16.0,11.8,16.8,15.1,4.6,0.3,0.0
"연령",만40-49세,867.8,14.9,14.4,6.9,14.7,32.9,12.5,3.1,0.6,1481.0,30.1,14.4,11.4,17.5,17.3,7.8,1.5,0.0,1585.9,33.3,15.7,8.3,13.6,20.1,7.9,1.2,0.0
"연령",만50-59세,683.8,16.9,12.9,5.7,11.2,32.2,16.6,3.4,1.0,1373.0,27.1,13.7,10.7,16.8,19.2,10.0,2.5,0.0,1580.6,29.6,13.4,8.1,17.5,20.4,8.9,2.0,0.1
"연령",만60-69세,273.7,10.0,12.5,6.0,10.4,29.8,23.8,7.5,0.0,666.0,28.4,15.4,9.6,15.4,20.0,6.7,4.6,0.0,1025.7,25.1,15.8,9.6,18.2,22.7,7.0,1.4,0.1
"연령",만70세이상,49.1,12.8,9.6,7.4,9.8,38.5,11.7,4.0,6.2,119.0,32.3,9.8,7.7,16.1,23.9,5.7,4.6,0.0,275.5,28.7,12.5,8.3,14.4,24.2,9.9,1.8,0.1
"월평균소득",소득없음,1537.6,27.5,14.1,8.5,11.6,25.4,9.6,2.6,0.7,2477.0,43.5,13.3,10.1,11.8,15.7,4.3,1.3,0.1,2631.2,44.3,14.2,9.1,13.4,14.1,4.3,0.7,0.0
"월평균소득",50만원미만,105.8,27.9,24.8,4.9,3.0,23.2,12.4,2.5,1.2,138.0,54.8,9.2,3.5,9.4,14.8,3.7,4.6,0.0,175.9,39.3,7.2,10.2,11.3,21.1,8.5,2.4,0.0
"월평균소득",50-100만원미만,136.8,27.7,6.2,21.0,8.7,26.4,5.5,2.1,2.4,222.0,29.5,12.2,8.4,9.0,32.2,6.1,2.8,0.0,317.8,37.9,11.9,8.1,9.2,27.0,5.7,0.2,0.0
